wallet,deposit_count,borrow_count,repay_count,redeem_count,liquidation_count,total_amount,first_tx,last_tx,unique_assets,score
0x0030de8f624d2b2513c6dbbff788bb109b80304d,1,0,0,0,0,512154521.788658,1626602064,1626602064,1,520
0x0030e3b40e23f92bd064457fd1fb848482a0bde5,2,0,0,0,0,32765.593476000002,1626336775,1626336841,2,540
0x0030ee334630838ea4dee0b4b6ecbc973529031f,8,7,1,0,0,4695000000005606.0,1623335934,1629733115,3,610
0x0031fc2cc920357b9767ab93200c5bf69c43e8e7,1,0,0,0,0,1071184911359.4033,1626406722,1626406722,1,520
0x00326e37cef76788f6b0cf643c94481d60bd3d58,2,0,0,0,0,30000000000000.0,1626947251,1626958532,2,540
0x00329e92ed6fd0a0ef76da9c476d51faeb6b26a0,179,154,148,42,0,6.586858275366398e+18,1619758126,1628725191,7,650
0x003325d3054cd7668fb16f19ea11bae6d02a474c,0,0,0,5,0,2005930.544632,1628711858,1629294638,2,520
0x0034baeeb160a5f1032b6d124d3e87cc94d74e62,59,45,21,37,0,1.756774767503172e+20,1619959149,1622078947,2,620
0x0034d2a08772822866b08d2c585e5c8e25723760,1,0,0,0,0,476000000000000.0,1624051865,1624051865,1,520
0x0034daf2e65f6ef82bc6f893dbbfd7c232a0e59c,0,0,0,5,0,65486886280318.516,1623214848,1625878688,3,530
0x0035e2e614e53a5ebf5a518dede926a7fcec4f91,14,8,2,2,0,1737613320930925.5,1622225592,1624031926,3,630
0x0036472d3ca5e7ab22477d62682b2a3d9436d328,1,0,0,0,0,10000000000000.0,1626435845,1626435845,1,520
0x0036534c48a754163f0f446601f36bcfda840f57,7,8,7,5,0,1217984521402147.0,1620356857,1621469649,5,620
0x00368bb9dba2ee83f3553feae59710b9c3743e09,9,1,0,1,0,1100961657610451.9,1622923193,1626193209,4,630
0x0036a2f1f6136bb9d7992f7def692126a279e702,1,0,0,0,0,3992596985.89263,1626655848,1626655848,1,520
0x0036a3f98bc84afb07fe42421f5a14cfe3c33219,9,14,14,6,0,6107736932915811.0,1622745367,1627603142,5,640
0x0036bc671c03460dec7d0ab24f45df0cf33d042b,4,2,2,4,0,3662821704040389.0,1623236863,1629292131,3,570
0x0037643e4ec2b622270676e9e7aa163b261cfb79,1,0,0,0,0,1.843331,1627132203,1627132203,1,520
0x0037aca1c1c45787a95c11dfaabed6308dc2ff80,3,0,0,6,0,99237.659169,1622674446,1626976852,1,540
0x0037daf6fb154db55110ced85cb4ba9e1204ca17,7,13,0,7,1,117457473836821.22,1622901885,1628735355,5,590
0x0038281701bf3f51fdbb18903c6e18776780a9a1,1,0,0,0,0,1.1,1627144421,1627144421,1,520
0x00389de87cae34a6f89e13cc8225c4984add8b37,328,100,76,106,0,2.763684710083018e+18,1620508678,1625543807,8,650
0x0039e71541bdc798d062346bce94230bf519bb72,1,1,0,0,0,37500000000.0,1620626481,1620626481,1,520
0x0039e762ecd8e8f074e93575dc395abfce4ef8b6,2,0,0,4,0,1.8960000000023996e+16,1620124907,1620364581,3,550
0x003a85c562730b196f7cba202a2515f2ff855736,131,22,12,12,0,4.141396296797531e+17,1621535047,1630377190,7,650
0x003a969ef82e876824b4131a1bbafbdb46a2ca90,4,5,4,0,0,1730000000001772.0,1623131291,1623332842,3,570
0x003ae57782ab0f390908f8d7a3a9680bcfc62ec0,2,0,0,0,0,2.105972,1626536314,1626968678,1,530
0x003ae6c26a2655eb54c1e53b03a266d97f3512e6,39,3,0,1,0,476147945087527.2,1623731430,1630587614,4,640
0x003b2816d976cebbf0cadec981ff59286b6d7f2f,2,0,0,2,0,283.78941100000003,1620767095,1622447629,2,540
0x003be39433bde975b12411fbc3025d49d813a84f,0,1,0,0,3,0.735469,1623999538,1626797278,1,420
0x003cb0842811db8d115e28f13048dd83db391dcb,1,0,0,0,0,1.626066,1626855953,1626855953,1,520
0x003dc03b7d7fe265e1c1db88bb1c6b1e6bcd06a7,1,0,0,0,0,6308462378.533841,1626846271,1626846271,1,520
0x003e41b4f19f27ab2a07c19abe2d99ecb492ce62,0,1,3,2,0,5003784174000037.0,1623898555,1624055469,2,520
0x003e9a119439ef34de3237034cee95675b01d5d4,6,9,8,8,0,24939667879482.32,1622534146,1630485625,3,590
0x003ed65a094ef804c934f2427b601e03113882ff,2,0,0,0,0,200000000.0,1625548546,1625548560,1,530
0x003edfecb016131dbd485c72f3b6f2e98a1429d9,59,50,16,19,0,1554865313684265.0,1619142533,1622708765,4,640
0x003f705c2e62e268891d8aa2724e32f2176dc963,1,0,0,0,0,10000000000000.0,1630499631,1630499631,1,520
0x00402e826833fbeb6f67072f3df3c8554a0b10e6,19,3,4,13,0,2927312861056389.0,1622707243,1625463752,5,650
0x00405f7b768a9a6b81e8060a17f0550501acf6be,87,40,0,17,0,7740167828926.011,1624411838,1629317067,2,620
0x0040932d4c252856709b24dc406244392d3df400,1,0,0,1,0,19.541204999999998,1623149009,1623149089,1,520
0x0040daac32d83c78546ae36da42a496b28ab09e1,6,0,0,0,0,1156000000000000.0,1621357702,1626671835,2,580
0x00418b8ea6c6e2d5676f651bf76a368adb845e91,1,0,0,0,0,500000000000.0,1618486606,1618486606,1,520
0x0041dac13d9365b4d695fb612950dc71884f8db1,43,34,55,22,0,4652870901243438.0,1626149538,1630580630,7,650
0x0043090d0a3338eb89914ea9af5c529e928a044c,1,0,0,1,0,18209.195678,1627901393,1627901543,1,520
0x0043260ff376a32f335de2091e8bd455d74ecef9,1,0,0,0,0,1.1067,1627112205,1627112205,1,520
0x00432772ed25d4eb3c6eb26dc461239b35cf8760,1,0,0,0,0,4428075463.80059,1626681054,1626681054,1,520
0x00432beb667c8908a74f35fef62882b502347e61,2,0,0,1,0,41.672648,1625139361,1625462112,1,530
0x00433d27687ff685d3871395d7fedfd42b1c3529,29,0,0,1,0,135109022108793.34,1623359274,1630359953,3,630
0x0043f8113eb1257bc6314fe0434eec0d9bac3837,7,0,0,1,0,128224000000400.86,1623227855,1627786157,3,600
0x004403abb2246c48ac770e30e7b36e3b16e152a1,3,5,3,1,0,12250585281848.186,1621914993,1623947710,3,560
0x00447d3b5f40e1bb71766b5ffc656f5391f6e9d8,1,0,0,1,0,2080.001698,1621102335,1621102357,1,520
0x0044803a27c6c45babd3fb7affb80b3f913579d7,33,13,6,15,0,418414066504102.25,1621521469,1629209904,7,650
0x0044f0ab1281b2bc850bfa39123dec1e8e09001d,10,23,7,9,0,4618724774154522.0,1623088654,1630557866,6,650
0x00452d3fd0e6bd68943b30af56a8df4eb7685387,1,1,1,3,0,262400000005496.12,1623038618,1625983766,3,540
0x004624a132094f106e977c369c8f2e1ebffb2ae1,1,0,0,0,0,1.106565,1626671973,1626671973,1,520
0x0046d10482bc3ae87fa4cb550e36706addf2304a,1,0,0,0,0,1.108121,1627113799,1627113799,1,520
0x004815f49c32e9ef6341dc2d53411a59de5a2daa,1,0,0,0,0,82000000000000.0,1623849841,1623849841,1,520
0x00481898361901f3e49bfe3e40872d09e93c2c11,3,0,0,3,0,502611510669040.3,1623400090,1625638909,2,550
0x0048e6fd005224e7e9f00058c630307f0710a84b,70,36,16,18,0,8.728113541752211e+16,1623436777,1630554155,7,650
0x0049436d8c3da52d604cdc390e45026b2662d7f7,3,5,4,0,0,5.6724356098310936e+16,1624549157,1628681839,5,580
0x00495585ecf70ad7dd71797c2a22951ed92b9a24,17,2,3,8,0,419959900863030.7,1620551205,1624095331,6,650
0x004965f85a3db4d5221189595141ecab247b115d,2,0,0,0,0,2003017440000.0,1626129309,1626783867,1,530
0x0049d23daaafeaac69e336ffe9dcb9ca14dac781,27,20,18,26,0,1.1871169745008958e+17,1618342480,1619652810,4,640
0x0049f39431ab794a381deca90fa7ab85e60e6ebb,1,0,0,0,0,98900000000.0,1622086493,1622086493,1,520
0x004a61f49faeab28ac5cc72ed26a7114d134362e,1,0,0,0,0,1.0,1623508055,1623508055,1,520
0x004af1171e5783d1223056a700e992b0eccf6191,1,0,0,0,0,33465400000000.0,1629567525,1629567525,1,520
0x004afb002e3fb33c833fc16b6b63103bbf97312d,5,3,2,2,1,2.5114358248086064e+16,1620191403,1622779234,3,550
0x004bac9f45af6848ffbdf0dec8f47023ccd7a138,2,2,0,0,0,288408996572.7187,1627168398,1628598563,3,550
0x004c572659319871be9d4ab337fb3df6237979d7,1,0,0,0,0,0.114151,1630264981,1630264981,1,520
